"filename", "language", "Markdown", "TypeScript", "JSON with Comments", "TypeScript JSX", "JavaScript", "JSON", "YAML", "Ini", "MS SQL", "XML", "PostCSS", "Java", "Java Properties", "Docker", "comment", "blank", "total"
"c:\BachKhoa\Kbase\README.md", "Markdown", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 40
"c:\BachKhoa\Kbase\TRAINING\TRAINING\BackEnd.md", "Markdown", 342, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 431
"c:\BachKhoa\Kbase\TRAINING\TRAINING\Database.md", "Markdown", 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 211
"c:\BachKhoa\Kbase\TRAINING\TRAINING\FrontEnd.md", "Markdown", 333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 404
"c:\BachKhoa\Kbase\TRAINING\TRAINING\Training.md", "Markdown", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 120
"c:\BachKhoa\Kbase\database\init\00-create-databases.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\BachKhoa\Kbase\database\init\01-user-schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\BachKhoa\Kbase\database\init\02-project-schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 6, 56
"c:\BachKhoa\Kbase\database\init\03-document-schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\BachKhoa\Kbase\database\migrations\20260527_project_member_invitations.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 5, 39
"c:\BachKhoa\Kbase\desktop.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\BachKhoa\Kbase\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 131, 21, 296
"Total", "-", 972, 248, 41, 1039, 10, 7071, 246, 2, 118, 221, 17, 1672, 56, 66, 166, 814, 12759
