"filename", "language", "TypeScript", "YAML", "TypeScript JSX", "MS SQL", "Java Properties", "Java", "Docker", "XML", "JSON", "JavaScript", "PostCSS", "HTML", "comment", "blank", "total"
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\standalone\.next\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\standalone\.next\prerender-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -85, 0, 0, 0, 0, 0, -85
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\standalone\.next\required-server-files.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -333, 0, 0, 0, 0, 0, -333
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\standalone\.next\routes-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -63, 0, 0, 0, 0, 0, -63
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\standalone\.next\server\app-paths-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, -5
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\standalone\.next\server\app\_global-error.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\standalone\.next\server\app\_global-error\page.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, -1, -10
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\standalone\.next\server\app\_global-error\page.js.nft.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\standalone\.next\server\app\_global-error\page\app-paths-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, -3
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\standalone\.next\server\app\_global-error\page\build-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, 0, 0, 0, -16
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\standalone\.next\server\app\_global-error\page\next-font-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, -6
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\standalone\.next\server\app\_global-error\page\react-loadable-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\standalone\.next\server\app\_global-error\page\server-reference-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, -4
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\standalone\.next\server\app\_global-error\page_client-reference-manifest.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, -2, -4
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\standalone\.next\server\app\_not-found.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\standalone\.next\server\app\_not-found\page.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, 0, -1, -13
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\standalone\.next\server\app\_not-found\page.js.nft.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\standalone\.next\server\app\_not-found\page\app-paths-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, -3
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\standalone\.next\server\app\_not-found\page\build-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, 0, 0, 0, -16
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\standalone\.next\server\app\_not-found\page\next-font-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, -6
